name,AAV,PTS,I_F_xGoals,Age,Predicted_AAV,Difference
Jakob Pelletier,775000.0,11,6.83,23.0,1174860.0916262134,399860.0916262134
Jack Eichel,10000000.0,94,26.32,28.0,9532141.909029035,-467858.0909709651
Pavel Mintyukov,918333.0,19,5.76,21.0,2805565.9427838624,1887232.9427838624
Oliver Kylington,1050000.0,4,0.41,27.0,1124635.8278642923,74635.82786429231
Shane Pinto,3750000.0,37,24.53,24.0,4232899.911740178,482899.91174017824
Evgeni Malkin,6100000.0,50,18.81,38.0,4685778.594045987,-1414221.4059540126
Jason Robertson,7750000.0,80,23.29,25.0,7711815.613897649,-38184.38610235136
Steven Stamkos,8000000.0,53,22.66,34.0,6892420.703378853,-1107579.2966211466
Jacob Bernard-Docker,875000.0,4,1.11,24.0,853571.7979172482,-21428.202082751784
Brandt Clarke,863333.0,33,6.69,21.0,2425752.948016233,1562419.9480162328
Chandler Stephenson,6250000.0,51,8.49,30.0,5499823.848912934,-750176.1510870662
Nikita Kucherov,9500000.0,121,27.03,31.0,10699620.715616697,1199620.7156166974
Victor Mancini,870000.0,3,1.39,22.0,846977.1797096649,-23022.820290335105
Ross Colton,4000000.0,29,18.24,28.0,3830055.3565615313,-169944.6434384687
Seth Jones,9500000.0,27,8.29,30.0,7326186.38807585,-2173813.61192415
Dmitry Kulikov,1150000.0,13,3.04,34.0,2741973.9074739455,1591973.9074739455
Artyom Levshunov,975000.0,6,0.84,19.0,857862.6337302242,-117137.36626977578
Jesperi Kotkaniemi,4820000.0,33,14.01,24.0,2709844.6262938287,-2110155.3737061713
Mike Matheson,4875000.0,31,9.14,30.0,5130200.811813179,255200.8118131794
Joel Edmundson,3850000.0,20,4.07,31.0,4264728.291211068,414728.2912110677
Hampus Lindholm,6500000.0,7,2.02,31.0,1275337.3253836022,-5224662.674616398
Tony DeAngelo,1750000.0,19,3.28,29.0,3384186.8380589555,1634186.8380589555
Marc Gatcomb,900000.0,9,4.6,25.0,1184403.6345698975,284403.63456989755
