name,AAV,PTS,I_F_xGoals,Age,Predicted_AAV,Difference
Logan Stanley,1250000.0,14,1.74,26.0,2096252.556210171,846252.556210171
Michael Amadio,2600000.0,27,13.32,28.0,2503620.7083976176,-96379.29160238244
Matt Boldy,7000000.0,73,33.7,23.0,7227199.69048136,227199.69048136007
Kieffer Bellows,775000.0,4,2.69,26.0,850481.2301136743,75481.2301136743
Noah Gregor,850000.0,1,5.57,26.0,1134936.5153486975,284936.51534869755
Erik Brannstrom,900000.0,8,1.07,25.0,1116750.2268359766,216750.2268359766
Ian Mitchell,775000.0,1,0.47,26.0,982076.1740953431,207076.1740953431
Zack Ostapchuk,825000.0,0,3.47,21.0,1194413.603537359,369413.60353735904
Pavel Zacha,4750000.0,47,20.95,27.0,4982224.946329103,232224.94632910285
William Karlsson,5900000.0,29,13.43,32.0,4832841.135045551,-1067158.8649544492
Adam Fox,9500000.0,61,12.52,26.0,9083738.931954024,-416261.06804597564
Noah Dobson,9500000.0,39,9.54,25.0,8423453.866808204,-1076546.133191796
Sean Kuraly,1850000.0,17,10.28,32.0,1924306.711124753,74306.71112475311
Conor Timmins,2200000.0,7,3.04,26.0,1437817.683071227,-762182.316928773
Marco Kasper,886667.0,37,19.4,20.0,1096381.8503630953,209714.8503630953
Jonny Brodzinski,787500.0,19,7.79,31.0,2237406.780430573,1449906.780430573
Johnathan Kovacevic,4000000.0,17,3.8,27.0,3879208.8212880604,-120791.1787119396
Vladimir Tarasenko,4750000.0,33,15.46,33.0,4225151.212725657,-524848.787274343
Bowen Byram,6250000.0,38,8.81,23.0,6277048.045399955,27048.045399954543
Phillip Danault,5500000.0,43,15.06,31.0,5048325.841383842,-451674.1586161582
Carter Verhaeghe,7000000.0,53,28.59,29.0,7412901.707177672,412901.7071776716
JJ Peterka,7700000.0,68,21.93,23.0,6450981.338588384,-1249018.661411616
Alex Laferriere,4100000.0,42,21.98,23.0,4285363.773145685,185363.77314568497
Joel Armia,2500000.0,29,13.42,31.0,2904404.6697581043,404404.66975810425
Cole Koepke,1000000.0,17,11.43,26.0,1968092.269365597,968092.269365597
Filip Chytil,4437500.0,6,14.28,25.0,3364557.5725582372,-1072942.4274417628
Mika Zibanejad,8500000.0,62,24.53,31.0,7741870.050841104,-758129.9491588958
Adam Larsson,5250000.0,28,6.58,32.0,4623750.315565257,-626249.6844347427
Darnell Nurse,9250000.0,33,7.96,29.0,7796236.185046705,-1453763.8149532946
Ryan Lindgren,4500000.0,3,3.72,26.0,2909399.1906921994,-1590600.8093078006
Kirill Marchenko,3850000.0,74,20.45,24.0,5653920.098497362,1803920.0984973619
Quinn Hughes,7850000.0,76,8.9,25.0,7547115.004163903,-302884.9958360968
Max Jones,1000000.0,2,2.15,26.0,860063.1949883514,-139936.80501164857
Emil Andrae,903333.0,7,3.23,22.0,1275104.4814959439,371771.48149594385
Connor Clifton,3333333.0,16,3.32,29.0,3660388.7313557435,327055.7313557435
Eric Robinson,1700000.0,32,17.58,29.0,3773094.5600720225,2073094.5600720225
Radek Faksa,2000000.0,15,6.64,31.0,1824994.8462998418,-175005.15370015823
William Eklund,863333.0,58,22.93,22.0,2952943.2575518684,2089610.2575518684
Jason Zucker,4750000.0,53,23.61,33.0,5539107.88688485,789107.8868848504
Kasperi Kapanen,1300000.0,1,5.73,28.0,1222172.8961883052,-77827.10381169477
